card_id,image_url
ecard2-H7,https://images.pokemontcg.io/ecard2/H7_hires.png
si1-6,https://images.pokemontcg.io/si1/6_hires.png
xy2-7,https://images.pokemontcg.io/xy2/7_hires.png
bw9-3,https://images.pokemontcg.io/bw9/3_hires.png
base3-7,https://images.pokemontcg.io/base3/7_hires.png
pop5-3,https://images.pokemontcg.io/pop5/3_hires.png
gym2-5,https://images.pokemontcg.io/gym2/5_hires.png
ex10-4,https://images.pokemontcg.io/ex10/4_hires.png
pl4-5,https://images.pokemontcg.io/pl4/5_hires.png
hgss2-4,https://images.pokemontcg.io/hgss2/4_hires.png
bw10-6,https://images.pokemontcg.io/bw10/6_hires.png
xy1-4,https://images.pokemontcg.io/xy1/4_hires.png
hgss4-7,https://images.pokemontcg.io/hgss4/7_hires.png
dv1-7,https://images.pokemontcg.io/dv1/7_hires.png
bw5-4,https://images.pokemontcg.io/bw5/4_hires.png
base4-5,https://images.pokemontcg.io/base4/5_hires.png
col1-4,https://images.pokemontcg.io/col1/4_hires.png
sm8-4,https://images.pokemontcg.io/sm8/4_hires.png
swsh35-6,https://images.pokemontcg.io/swsh35/6_hires.png
sm1-3,https://images.pokemontcg.io/sm1/3_hires.png
pop3-5,https://images.pokemontcg.io/pop3/5_hires.png
pop4-5,https://images.pokemontcg.io/pop4/5_hires.png
bw6-4,https://images.pokemontcg.io/bw6/4_hires.png
xy4-4,https://images.pokemontcg.io/xy4/4_hires.png
neo4-5,https://images.pokemontcg.io/neo4/5_hires.png
hgss1-7,https://images.pokemontcg.io/hgss1/7_hires.png
ex12-7,https://images.pokemontcg.io/ex12/7_hires.png
xy10-4,https://images.pokemontcg.io/xy10/4_hires.png
neo3-4,https://images.pokemontcg.io/neo3/4_hires.png
xy11-6,https://images.pokemontcg.io/xy11/6_hires.png
ex4-5,https://images.pokemontcg.io/ex4/5_hires.png
basep-4,https://images.pokemontcg.io/basep/4_hires.png
sm2-4,https://images.pokemontcg.io/sm2/4_hires.png
bw7-5,https://images.pokemontcg.io/bw7/5_hires.png
dp3-7,https://images.pokemontcg.io/dp3/7_hires.png
pop1-5,https://images.pokemontcg.io/pop1/5_hires.png
xy7-5,https://images.pokemontcg.io/xy7/5_hires.png
det1-7,https://images.pokemontcg.io/det1/7_hires.png
base6-5,https://images.pokemontcg.io/base6/5_hires.png
sm115-6,https://images.pokemontcg.io/sm115/6_hires.png
base1-4,https://images.pokemontcg.io/base1/4_hires.png
sm5-5,https://images.pokemontcg.io/sm5/5_hires.png
pop9-5,https://images.pokemontcg.io/pop9/5_hires.png
gym1-4,https://images.pokemontcg.io/gym1/4_hires.png
sm3-4,https://images.pokemontcg.io/sm3/4_hires.png
dp1-5,https://images.pokemontcg.io/dp1/5_hires.png
pl1-7,https://images.pokemontcg.io/pl1/7_hires.png
ex9-6,https://images.pokemontcg.io/ex9/6_hires.png
bw1-4,https://images.pokemontcg.io/bw1/4_hires.png
base5-4,https://images.pokemontcg.io/base5/4_hires.png
neo4-6,https://images.pokemontcg.io/neo4/6_hires.png
dp1-6,https://images.pokemontcg.io/dp1/6_hires.png
sm3-5,https://images.pokemontcg.io/sm3/5_hires.png
base3-8,https://images.pokemontcg.io/base3/8_hires.png
bw8-4,https://images.pokemontcg.io/bw8/4_hires.png
hgss2-5,https://images.pokemontcg.io/hgss2/5_hires.png
dpp-DP06,https://images.pokemontcg.io/dpp/DP06_hires.png
pl4-6,https://images.pokemontcg.io/pl4/6_hires.png
ex3-6,https://images.pokemontcg.io/ex3/6_hires.png
sm12-5,https://images.pokemontcg.io/sm12/5_hires.png
bw6-5,https://images.pokemontcg.io/bw6/5_hires.png
xy11-7,https://images.pokemontcg.io/xy11/7_hires.png
neo3-5,https://images.pokemontcg.io/neo3/5_hires.png
ex9-7,https://images.pokemontcg.io/ex9/7_hires.png
si1-7,https://images.pokemontcg.io/si1/7_hires.png
ex11-7,https://images.pokemontcg.io/ex11/7_hires.png
ex12-8,https://images.pokemontcg.io/ex12/8_hires.png
dv1-8,https://images.pokemontcg.io/dv1/8_hires.png
mcd19-8,https://images.pokemontcg.io/mcd19/8_hires.png
ru1-6,https://images.pokemontcg.io/ru1/6_hires.png
dp4-5,https://images.pokemontcg.io/dp4/5_hires.png
col1-5,https://images.pokemontcg.io/col1/5_hires.png
xy5-7,https://images.pokemontcg.io/xy5/7_hires.png
pop1-6,https://images.pokemontcg.io/pop1/6_hires.png
bw10-7,https://images.pokemontcg.io/bw10/7_hires.png
basep-5,https://images.pokemontcg.io/basep/5_hires.png
bw11-6,https://images.pokemontcg.io/bw11/6_hires.png
bw4-5,https://images.pokemontcg.io/bw4/5_hires.png
bw5-5,https://images.pokemontcg.io/bw5/5_hires.png
base1-5,https://images.pokemontcg.io/base1/5_hires.png
sm75-4,https://images.pokemontcg.io/sm75/4_hires.png
bw9-4,https://images.pokemontcg.io/bw9/4_hires.png
sm115-7,https://images.pokemontcg.io/sm115/7_hires.png
hgss4-8,https://images.pokemontcg.io/hgss4/8_hires.png
pl1-8,https://images.pokemontcg.io/pl1/8_hires.png
sm2-5,https://images.pokemontcg.io/sm2/5_hires.png
pop7-7,https://images.pokemontcg.io/pop7/7_hires.png
pl3-6,https://images.pokemontcg.io/pl3/6_hires.png
xy7-6,https://images.pokemontcg.io/xy7/6_hires.png
swsh4-3,https://images.pokemontcg.io/swsh4/3_hires.png
xy1-5,https://images.pokemontcg.io/xy1/5_hires.png
swsh1-5,https://images.pokemontcg.io/swsh1/5_hires.png
dp3-8,https://images.pokemontcg.io/dp3/8_hires.png
gym2-6,https://images.pokemontcg.io/gym2/6_hires.png
base4-6,https://images.pokemontcg.io/base4/6_hires.png
bw7-6,https://images.pokemontcg.io/bw7/6_hires.png
pop6-6,https://images.pokemontcg.io/pop6/6_hires.png
ecard2-H8,https://images.pokemontcg.io/ecard2/H8_hires.png
sm1-4,https://images.pokemontcg.io/sm1/4_hires.png
ex10-5,https://images.pokemontcg.io/ex10/5_hires.png
xy4-5,https://images.pokemontcg.io/xy4/5_hires.png
ex8-5,https://images.pokemontcg.io/ex8/5_hires.png
base5-5,https://images.pokemontcg.io/base5/5_hires.png
sm5-6,https://images.pokemontcg.io/sm5/6_hires.png
hgss1-8,https://images.pokemontcg.io/hgss1/8_hires.png
base6-6,https://images.pokemontcg.io/base6/6_hires.png
pop3-6,https://images.pokemontcg.io/pop3/6_hires.png
ex4-6,https://images.pokemontcg.io/ex4/6_hires.png
det1-8,https://images.pokemontcg.io/det1/8_hires.png
ecard3-H1,https://images.pokemontcg.io/ecard3/H1_hires.png
sm6-1,https://images.pokemontcg.io/sm6/1_hires.png
pl2-1,https://images.pokemontcg.io/pl2/1_hires.png
xy6-1,https://images.pokemontcg.io/xy6/1_hires.png
xy8-1,https://images.pokemontcg.io/xy8/1_hires.png
dp3-9,https://images.pokemontcg.io/dp3/9_hires.png
